pos	5pC>T
1	0.0398432397126061
2	0.0372305682560418
3	0.0254579323191555
4	0.0242749054224464
5	0.0253324889170361
6	0.0196267696267696
7	0.017219787100814
8	0.016796267496112
9	0.0168591945051514
10	0.01472844430807
11	0.013418725221104
12	0.0132970686007857
13	0.0125335720680394
14	0.0114197530864198
15	0.0117967332123412
16	0.0129987908101572
17	0.00999697061496516
18	0.0118938700823422
19	0.00781719783523752
20	0.0122212037885732
21	0.0120023419203747
22	0.011443661971831
23	0.00827667750517292
24	0.00978938000593296
25	0.00948429164196799
